publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
A.v. Club,2018,0.06,2000.0,False,120.0,2.0,42,Profile,Medium,Cold Pitch,Unknown/Other,Digital,No,"""I don't think it's worth it to publish at AV Club. It's a good byline, I guess, but their rates are hard and set, and writers have no opportunity to negotiate. Given the amount of time you will spend editing your piece, save it and pitch it elsewhere."""
A.v. Club,2017,0.36,700.0,False,252.0,1.0,60,Profile,Medium,Referral,Unknown/Other,Digital,Yes,
A.v. Club,2013,,,True,60.0,,,Criticism,,,,,,
The Girlfriend From Aarp,2018,1.0,500.0,False,500.0,1.0,30,Opinion,Light,Spec,All,Digital,Yes,
Ms. Blog (Ms. Magazine),2018,0.0,800.0,False,0.0,,,Blog,Light,Cold Pitch,Unknown/Other,Digital,No,
Ms. Blog (Ms. Magazine),2018,1.0,1600.0,False,1600.0,4.0,30,Feature,Medium,Assignment,First,Digital,Yes,"""Made a huge error with my payment (was short by several hundred dollars). Didn't show the story before publishing."""
Guernica,2013,,,,,,,,,,,,,
Guernica,2012,,,,,,,,,,,Digital,,"""does not pay"""
Yourtango,2018,0.04,1200.0,False,48.0,1.0,30,Opinion,Light,Cold Pitch,All,Digital,No,"""Super easy to work with, editing process quick and easy, and editors quick to respond"""
Yourtango,2017,0.05,1000.0,False,50.0,2.0,30,Opinion,Light,Ongoing,Unknown/Other,Digital,No,
Yourtango,2017,0.05,1000.0,False,50.0,3.0,Not Yet,Opinion,Light,Ongoing,First,Digital,No,
Yourtango,2017,0.06,600.0,False,36.0,2.0,30,Feature,Medium,Ongoing,First,Print,Yes,
Yourtango,2016,0.06,900.0,False,54.0,1.0,30,Blog,Light,Ongoing,All,Digital,No,
The Slutist,2017,0.07,1000.0,False,70.0,1.0,15,Profile,Light,Cold Pitch,Unknown/Other,Digital,,
Foss Force,2016,0.05,600.0,False,30.0,1.0,30,Opinion,Medium,Referral,All,Digital,Verbal,
Art Press (france),2013,0.06,5000.0,False,300.0,,,Feature,Heavy,Assignment,First,Print,Yes,
Otaku Usa Magazine,2015,0.1,750.0,False,75.0,,,News,Medium,Cold Pitch,,Digital,No,"""For Online: $25 flat rate; For Print: $0.10 per word"""
Times Higher Education,2017,0.0,1000.0,False,0.0,,,Opinion,Light,,Secondary,Digital,No,"""The editor saw a piece that I had published on my own site, and asked me for permission to republish it on the Times Higher Education website (which has plenty of advertisements and sponsors). I asked the editor how much they paid, and he told me that he had no budget for the writing that he was publishing. So I told him, no, I wouldn't grant him a free license to publish my work."""
Modern Luxury,2018,0.67,300.0,False,201.0,4.0,>90,Profile,Medium,Referral,Unknown/Other,Print,No,
Modern Luxury,2015,0.0,375.0,False,0.0,,,News,Medium,Assignment,First,Digital,No,"""I wrote 2 commissioned stories 200 words each for Modern Luxury's CS Interiors Chicago magazine. Modern luxury is a huge company with 40 print publications in a dozen cities. The work was completed and invoices were sent in May 2015. They still have not paid me [as of Nov 2015].
"""
Ookpixels,2016,0.05,2100.0,False,105.0,1.0,15,Feature,Heavy,Ongoing,Unknown/Other,Digital,Verbal,"""One of my favourite publications to work with. Quick turnaround, great editor, and fast payments (i.e. usually on the same day of publication)."""
Ookpixels,2016,0.05,2000.0,False,100.0,1.0,15,Feature,Heavy,Solicited Pitch,Unknown/Other,Digital,Verbal,
The Weekly Standard Blog,2018,0.05,1100.0,False,55.0,5.0,Not Yet,Opinion,,,All,Digital,,
The Weekly Standard Blog,2016,0.1,500.0,False,50.0,2.0,60,Blog,Medium,Ongoing,Unknown/Other,Digital,Verbal,
Wired,2018,0.42,1200.0,False,504.0,2.0,42,Feature,Medium,Ongoing,All,Digital,Yes,"""Wired communicates well and responds to pitches promptly. Pay is appropriate, although online budgets are leaner than print. Conde Nast Contract contains a questionable do-not-compete clause, which may be unenforceable. Payment is fairly quick, requires registration with payment system. Direct deposit option."""
Wired,2018,0.19,1600.0,False,304.0,1.0,30,News,Medium,Ongoing,All,Digital,Yes,
Wired,2018,0.54,1400.0,False,756.0,2.0,30,,,,First,Digital,,
Wired,2018,0.47,650.0,False,305.5,1.0,60,Opinion,Medium,Solicited Pitch,First,Print,Yes,
Wired,2017,4.2,8000.0,False,33600.0,2.0,15,Criticism,Light,Cold Pitch,First,Digital,No,
Wired,2017,2.5,3000.0,False,7500.0,1.0,42,,,,First,Print,,
Wired,2016,2.31,346.0,False,799.26,1.0,15,Opinion,Light,Referral,All,Digital,Yes,
Wired,2013,,,True,250.0,,,FoB,,,,Print,,
Wired,2013,,,,,,,Feature,,,,Print,,"""rate ""subject to negotiation"""""
Kirkus Indie,2016,0.17,300.0,False,51.00000000000001,2.0,30,Criticism,Light,Assignment,All,Digital,Yes,"""Short reviews of self-published books, also have to give comparable books for review to link to. Usually goes through 1-2 rounds depending."""
Family Circle,2015,1.33,750.0,False,997.5,,,Profile,Medium,Cold Pitch,First,Print,Yes,
Jezebel,2017,0.28,900.0,False,252.00000000000003,4.0,Not Yet,Feature,Medium,Cold Pitch,All,Digital,No,
Jezebel,2017,0.15,1688.0,False,253.2,4.0,Not Yet,Opinion,Light,Cold Pitch,All,Digital,Yes,"""It's so difficult to get replies to emails and even to finally get your work published. I email my editor every week and it's been four months since I submitted my draft but they still haven't published it and I don't know when they will. I love Jezebel but I hate this experience."""
Jezebel,2017,0.25,1200.0,False,300.0,1.0,Not Yet,,,,All,Digital,,
Jezebel,2016,0.2,1000.0,False,200.0,1.0,30,Criticism,Medium,Cold Pitch,All,Digital,Yes,
Jezebel,2015,0.13,1500.0,False,195.0,,,Feature,Medium,Cold Pitch,,Digital,Verbal,"""Cold pitch, $200.  Good editors. Respond quickly."""
Jezebel,2014,0.17,1500.0,False,255.00000000000003,,,Criticism,Medium,Cold Pitch,First,Digital,Yes,"""Cold pitch-$250.00 is the going freelance rate on all of the Gawker sites. """
The Athletic,2018,0.16,827.0,False,132.32,3.0,60,Profile,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Published for The Athletic Toronto. Editor posted an open call for pitches from ""young writers"" (such as myself), promising a ""modest fee."""""
The Brooklyn Quarterly,2017,0.05,2500.0,False,125.0,3.0,Not Yet,Opinion,Light,Cold Pitch,First,Digital,,
Dazed,2018,0.14,800.0,False,112.00000000000001,3.0,60,Opinion,Medium,Ongoing,Unknown/Other,Digital,No,
Dazed,2018,0.14,1800.0,False,252.00000000000003,4.0,Not Yet,Profile,Medium,Assignment,Unknown/Other,Digital,No,
Dazed,2018,0.11,950.0,False,104.5,3.0,90,Criticism,Medium,Cold Pitch,Unknown/Other,Digital,No,"""£80 GBP. Staff very kind and easy to work with although some miscommunication between departments."""
Dazed,2015,0.1,750.0,False,75.0,,,News,Medium,Ongoing,,Digital,No,
Dazed,2015,0.15,1500.0,False,225.0,,,Opinion,Medium,Spec,All,Digital,No,
Dazed,2013,0.15,2000.0,False,300.0,,,Feature,,,,Print,,"""175 GBP"""
Dazed,2013,0.1,2000.0,False,200.0,,,Profile,,,,Print,,"""125 GBP"""
Dazed,2013,0.13,1000.0,False,130.0,,,Profile,,,,Digital,,"""75 GBP"""
Dazed,2013,0.0,500.0,False,0.0,,,Profile,,,,Digital,,
Heyreverb.com,2013,,,True,50.0,,,,,,,,,"""“I started off getting paid $50/month at four columns/month. Two years later I was paid $50/column.” """
Rolling Stone,2018,0.29,1200.0,False,348.0,3.0,90,Feature,Medium,Ongoing,All,Digital,Verbal,
Rolling Stone,2018,0.25,1200.0,False,300.0,4.0,60,Criticism,Medium,Ongoing,Unknown/Other,Digital,Yes,
Rolling Stone,2018,0.25,1400.0,False,350.0,5.0,Not Yet,News,Medium,Ongoing,Unknown/Other,Digital,Yes,"""Still waiting to be paid, months and months after story went up"""
Rolling Stone,2017,0.8,5000.0,False,4000.0,3.0,30,,,,All,Digital,,
Rolling Stone,2016,0.15,1000.0,False,150.0,2.0,60,Opinion,Light,,Unknown/Other,Digital,No,
Rolling Stone,2016,0.16,1600.0,False,256.0,4.0,60,Opinion,Medium,Ongoing,Unknown/Other,Digital,Verbal,"""For some reason they can't do direct deposit."""
Rolling Stone,2016,0.13,800.0,False,104.0,3.0,60,Profile,Heavy,Solicited Pitch,Unknown/Other,Digital,Yes,"""Assumed articles would pay much higher so (foolishly) didn't bother to ask. After contributing a few times it didn't seem worth continuing to write for the outlet, to be totally honest."""
Rolling Stone,2016,0.18,850.0,False,153.0,1.0,60,Opinion,Light,Ongoing,Unknown/Other,Digital,Verbal,
Rolling Stone,2014,0.05,1500.0,False,75.0,,,Feature,Medium,Ongoing,All,Digital,No,"""Offered me $100 for an upcoming slideshow. Am super annoyed that these rates are lower than those listed on the site, especially as I was an intern for them for six months. """
Rolling Stone,2014,1.33,750.0,False,997.5,,,FoB,Light,Assignment,,Print,Yes,
Rolling Stone,2014,0.33,750.0,False,247.5,,,News,Medium,Ongoing,,Digital,No,
Rolling Stone,2013,0.3,500.0,False,150.0,,,News,,,,Digital,,
Rolling Stone,2012,,,,,,,,,,,Print,,
Rolling Stone,2012,,,True,150.0,,,Profile,,,,Digital,,
N+1,2017,0.04,2500.0,False,100.0,1.0,42,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Standard rate for online is $100. They paid me via PayPal--took a little while but no paperwork or anything."""
N+1,2016,0.05,3000.0,False,150.0,5.0,Not Yet,,,,Unknown/Other,Digital,,
N+1,2014,0.0,3000.0,False,0.0,,,Opinion,Light,Assignment,,Digital,No,
N+1,2013,,,True,300.0,,,Opinion,,,,,,"""$300-500 flat rate"""
N+1,2013,,,,,,,Feature,,,,Digital,,
N+1,2012,0.0,2500.0,False,0.0,,,Opinion,,,,Digital,,"""""the editors work for free, too"""""
Dorado,2016,1.0,1000.0,False,1000.0,1.0,15,Feature,Light,Solicited Pitch,Unknown/Other,Print,Yes,
Red Bull Music,2015,0.25,750.0,False,187.5,,,Opinion,Medium,Assignment,All,Digital,Yes,"""Red Bull Music is separate from the Red Bull Music Academy magazine. I've done a job for the US Red Bull Music site, paid $500 for a short profile (1K words circa), but it was never published due to issues unrelated to the content. This job was for the UK Red Bull Music site, pay was lower but it was published this time. Payments are done via Red Bull's vendor system, it's fairly efficient and prompt for payments. """
Bu Today,2016,0.77,650.0,False,500.5,1.0,30,News,Light,Referral,All,Digital,Yes,
Star Tribune,2018,0.18,1100.0,False,198.0,2.0,30,,,,Unknown/Other,Digital,,
Staance.com,2014,0.33,750.0,False,247.5,,,Opinion,Medium,Assignment,All,Digital,Yes,"""Smooth operation, good editors."""
High Snobiety,2017,0.08,1700.0,False,136.0,1.0,42,,,,Unknown/Other,Digital,,
High Snobiety,2017,0.15,1200.0,False,180.0,1.0,42,Criticism,Light,Solicited Pitch,All,Digital,No,
Culturess,2018,0.03,500.0,False,15.0,1.0,60,,,,All,Digital,,
Culturess,2017,0.0,1000.0,False,0.0,,,Blog,Light,,Unknown/Other,Digital,No,"""$1 per 1000 clicks. 

Culturess is part of Fansided,  owned by Time, Inc."""
National Geographic –Voice For Elephants Blog,2016,0.15,980.0,False,147.0,1.0,30,Blog,Medium,Referral,Unknown/Other,Digital,Verbal,
The Magazine,2012,0.53,1500.0,False,795.0,,,Feature,,,,,,"""Editor says: Generally, I'd rather not offer something in The Magazine than ask its creator to accept a substandard rate or work for free."""
Desert Companion,2018,0.3,1500.0,False,450.0,1.0,30,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,Yes,
The Penny Hoarder,2017,0.07,1050.0,False,73.5,1.0,30,Blog,Light,Cold Pitch,All,Digital,Yes,"""Pitch was accepted two weeks after submission. From pitch to publish date was about two months."""
The Penny Hoarder,2017,0.07,1000.0,False,70.0,1.0,15,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
The Penny Hoarder,2016,0.08,961.0,False,76.88,1.0,15,Blog,Light,Cold Pitch,Unknown/Other,Digital,No,
Saveur,2018,0.18,3400.0,False,612.0,2.0,60,Feature,Heavy,Assignment,Unknown/Other,Digital,No,
Saveur,2017,0.3,1000.0,False,300.0,1.0,30,Feature,Medium,Referral,All,Digital,Yes,
Saveur,2017,0.3,1000.0,False,300.0,1.0,30,News,Medium,Referral,All,Digital,Yes,
Livingbetter50,2017,0.0,800.0,False,0.0,,,Feature,Medium,Cold Pitch,First,Digital,No,"""This publication is a scam. They accept your pitch and give you a deadline, rate, etc then THEY charge YOU that amount to print the story!"""
Moneycrashers.com,2014,0.05,750.0,False,37.5,,,Opinion,Light,Ongoing,All,Digital,Yes,"""Pay initially started at $25 for 750 to 1250 word posts, including research and photos, pays monthly via direct deposit, editorial staff repeatedly asked for professional contacts to ""set up a business relationship,"" reduced my workload when I wouldn't release email addresses to other publications/editors. """
Diversity Woman,2018,0.75,1200.0,False,900.0,1.0,42,Feature,Medium,Assignment,Unknown/Other,,Yes,
The Awl,2016,0.06,3500.0,False,210.0,3.0,Not Yet,,,,Unknown/Other,Digital,,
The Awl,2015,0.4,750.0,False,300.0,,,Opinion,Medium,Ongoing,,Digital,No,
The Awl,2014,0.08,3000.0,False,240.0,,,Criticism,Medium,Cold Pitch,All,Digital,Verbal,
The Awl,2014,0.08,3000.0,False,240.0,,,Profile,Medium,Cold Pitch,First,Digital,Verbal,
The Awl,2014,0.27,375.0,False,101.25,,,Opinion,Medium,Ongoing,,Digital,No,"""Nice Editor, light editorial hand, published without notifying me, """
The Awl,2013,0.03,1000.0,False,30.0,,,,,,,,,
The Awl,2013,,,,,,,,,,,,,"""Sometimes $30 or $50, sometimes nothing, for 1000­-2000­ word essays (2011­-12). “Checks came as a pleasant surprise. I’m curious how this has changed/standardized since then.”"""
The Awl,2012,,,True,50.0,,,News,,,,,,"""""long-form, fully reported pieces."""""
Vice Sports Canada,2016,0.1,1500.0,False,150.0,,,Profile,Medium,Cold Pitch,First,Digital,Verbal,
New York Times Magazine,2018,0.5,1000.0,False,500.0,3.0,42,,,,All,Digital,,
New York Times Magazine,2017,2.0,6300.0,False,12600.0,2.0,90,Feature,Heavy,Referral,First,Digital,,
New York Times Magazine,2016,2.0,934.0,False,1868.0,3.0,30,FoB,Medium,Solicited Pitch,First,Digital,Yes,
New York Times Magazine,2016,2.0,500.0,False,1000.0,1.0,Not Yet,FoB,,Assignment,First,Print,Yes,
New York Times Magazine,2013,,,,,,,,,,,,,
Lenny Letter,2018,0.22,1800.0,False,396.0,1.0,15,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Lenny Letter,2017,0.19,1600.0,False,304.0,1.0,30,Profile,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Lenny Letter,2017,0.17,1800.0,False,306.0,1.0,Not Yet,Profile,Medium,Solicited Pitch,Unknown/Other,Digital,Yes,
Lenny Letter,2017,0.19,1600.0,False,304.0,1.0,15,Profile,Medium,Cold Pitch,First,Digital,Yes,
Lenny Letter,2016,0.19,800.0,False,152.0,4.0,60,Criticism,Medium,Cold Pitch,Unknown/Other,,Yes,
Overture,2018,0.25,300.0,False,75.0,1.0,15,FoB,Light,,Unknown/Other,Print,Yes,
Overture,2018,0.5,1000.0,False,500.0,1.0,30,Opinion,Light,Referral,All,Print,Yes,
Raleigh & Company,2015,0.04,750.0,False,30.0,,,Opinion,Light,Assignment,All,Digital,Verbal,"""They came to me. This wasn't the first time it's happened. Normally $30 for 700-1000 words on a topic."""
Massage Magazine,2018,0.17,1500.0,False,255.00000000000003,4.0,>90,Feature,Light,Referral,First,Print,Yes,
Your Chicken Enemy,2018,0.04,1000.0,False,40.0,1.0,15,Criticism,Light,Cold Pitch,First,Digital,Verbal,
Water Deeply,2018,0.3,1000.0,False,300.0,2.0,30,News,Medium,Ongoing,First,Digital,Yes,
Middle East Educator,2015,0.0,750.0,False,0.0,,,News,Medium,Spec,Unknown/Other,,Verbal,"""Never received payment.

The editor/published kept procrastinating until he told me that he had sold the publication and that the new owners would pay.

Even though new owners legally take on the outstanding obligations of the old owners - they did not pay.

"""
Fast Company,2018,0.27,1458.0,False,393.66,5.0,>90,News,Heavy,Cold Pitch,First,Digital,No,"""Worst editor experience of my career. At least 4 rounds of edits. Edits were erratic with no connection to piece. Each round introduced a brand new subject matter & distorted focus until the article had no coherent idea or narrative. Assignment was how machine learning could prevent school shootings. Edits included an entire page on sniper training & eating at McDonald's. Half of published piece was material I'd never seen, including quotes from a source I'd never heard of. Prior to writing, editor refused to issue a contract, even though he said Fast Company has one. He also ignored 7 emails requesting payment for my overdue invoice, as well as an official letter from NYC re: Freelance Isn't Free. Only when I drew up small claims paperwork, did he connect me to a different editor who paid a week later with no apology for my 166 day wait."""
Fast Company,2018,0.35,2000.0,False,700.0,3.0,90,Feature,Medium,Ongoing,All,Digital,No,"""I took this assignment on the request of an old friend/colleague, who knew I had a particular interest in the topic. The pay rate was significantly lower than my standard (and of FC print, which is $2/word), and the research was substantial, though not on an investigative level. It also took nearly two months to get paid, which is longer than it should have. But the piece turned out really well, and my editor actually improved it, adding a number of sidebars that really filled out the piece nicely. 

Still, when he asked if I was interested in writing another piece of a similar nature, I turned him down, because the ratio of research to revenue was too high."""
Fast Company,2018,0.65,3100.0,False,2015.0,1.0,30,Feature,Heavy,Ongoing,Unknown/Other,Digital,No,
Fast Company,2016,0.33,1200.0,False,396.0,2.0,60,Profile,Medium,Cold Pitch,First,Digital,Verbal,
Fast Company,2013,,,,,,,,,,,Print,,
The Lifted Brow (australia),2016,0.1,2487.0,False,248.70000000000002,1.0,30,Feature,,,First,Print,No,
The Lifted Brow (australia),2013,0.14,200.0,False,28.000000000000004,,,Opinion,,,,,,"""30 AUD original payment"""
Mississippi Magazine,2013,0.22,1500.0,False,330.0,,,Feature,Medium,Ongoing,All,Print,Yes,
Suitcase Magazine,2018,0.0,1200.0,False,0.0,,,Feature,Medium,Cold Pitch,First,Digital,No,"""I pitched this article to the editor and heard back right away. However, after writing the article I didn't hear from her for 3 weeks. After hearing back, she asked me to re-format the entire article. I did so, and didn't hear back again for another month, after sending 4 emails that went unaswered. 
When she finally did get back to me, she had changed her mind, and I was asked to re-format the article, again! This is all for an article that was for no pay, and I was doing it to get a clip for my portfolio. 
When the article was finally published, she had completely butchered it, and changed almost every single sentence I wrote. On top of that, I found 4 typos just in the first 2 paragraphs. 
Very disappointed with this publication, terrible editing, and awful communication. It wasn't worth the headache, even if they had paid me. 
I would advise that you stay away!"""
