comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$25,True,,,ng-hide,,Interview Magazine,,Rights: ,, profile or interview,2013
"""Pitched a few story ideas, was assigned one. Did interviewing, writing, sent it in. Never able to rouse response from 2 editors. Needless to say: STAY AWAY!""","Contract: Verbal or ""handshake"" agreement",$0.00,False,Medium reporting,,svg-false,Platform: digital,"Ttg Asia (Travel Trade Gazette Asia), Singapore",Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,600,2017
,Contract: No,$0.07,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Chap Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1000,2018
,Contract: No,$0.09,False,Medium reporting,Longer than 3 months ,svg-3,Platform: print,Chap Magazine,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",700,2018
,Contract: Yes,$0.04,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,The Bold Italic,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.03,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,The Bold Italic,Solicited pitch (editor asked you to pitch),Rights: All rights,feature,1800,2018
"""Editor changed their mind a lot about the edits which resulted in more work than expected, and the publication usually takes a while to get back to about payment, around 2-3 months.""",Contract: Yes,$0.07,False,Little to no reporting,Paid in 2 months ,svg-3,Platform: digital,The Bold Italic,Assignment (editor came to you),Rights: All rights,blog post,700,2018
,Contract: Yes,$0.06,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,The Bold Italic,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,fob,800,2017
"""They initially offered $50 for an 800-word piece which I considered very low. I didn't want to risk losing the deal as this would be my first article with them, so I only bumped it up to $80 and they responded with $75.""",Contract: Yes,$0.10,False,Medium reporting,,ng-hide,Platform: digital,The Bold Italic,Cold pitch (no pre-existing relationship),Rights: All rights,"criticism, review, or arts/entertainment converage",~750,2015
,Contract: ,$0.19,False,,,ng-hide,Platform: digital,The Bold Italic,,Rights: ,feature,1600,2013
,Contract: ,$0.19,False,,,ng-hide,Platform: digital,The Bold Italic,,Rights: ,news story,800,2013
"""""I was given a rate of $150-300, but i heard from another editor that I was 'low-balled' and that many writeres with bigger rep than mine are paid considerably more""""",Contract: ,$300,True,,,ng-hide,,The Bold Italic,,Rights: ,,,2013
,"Contract: Verbal or ""handshake"" agreement",$0.38,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Sojourners,Referral (you had a connection who connected you to the editor),Rights: All rights,feature,800,2017
,Contract: Yes,$0.15,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Nature: Futures,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,fiction,850,2017
"""Very quick in payment. very cordial and professional.""",Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Gnome Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~750,2015
,Contract: Yes,$0.01,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The American Genius,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,800,2017
,Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Jackson Free Press,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~750,2014
,Contract: No,$0.12,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Dance International,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,700,2018
,Contract: Yes,$0.28,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,News & Observer,Assignment (editor came to you),Rights: All rights,news story,900,2017
,Contract: No,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Crosscut,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1000,2016
,"Contract: Verbal or ""handshake"" agreement",$0.12,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Crosscut,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1666,2016
,"Contract: Verbal or ""handshake"" agreement",$0.17,False,Medium reporting,,ng-hide,Platform: digital,Crosscut,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2015
,Contract: No,$0.11,False,,,ng-hide,Platform: digital,Hopes And Fears,,Rights: ,profile or interview,~1500,2015
"""All flat rates: bewspaper features $50; magazine pieces $100. Hudson County New Jersey events only.""","Contract: Verbal or ""handshake"" agreement",$0.07,False,Medium reporting,,ng-hide,Platform: print,Hudson Reporter,Assignment (editor came to you),Rights: All rights,"criticism, review, or arts/entertainment converage",~750,2015
,Contract: Yes,$1.25,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: print,Sunset,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2018
"""Sunset has run into some financial/mgmt issues since being bought by Regent LP private equity firm. I've worked with them (writing and shooting) for years and they always paid within 30 days. Now I've one invoice thats three months overdue and three others a month overdue. Troubling part is, there's little to no recourse since most of editors have turned over, including EIC. Regent accounts payable is unresponsive to my inquiries. So just a note of caution about Sunset right now...""","Contract: Verbal or ""handshake"" agreement",$1.25,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Sunset,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2000,2018
"""A lot of turnover in the editorial department over the past few years, leading to frustrating gaps in communication, delays in contracts, rate cuts, and other issues.""",Contract: Yes,$1.00,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Sunset,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,fob,500,2017
"""Notoriously freelancer unfriendly as ever-rotating cast of editors will repurpose and even reassign content and then not pay the original writer. Trying to work for this publication ranks among the most unprofessional experiences of my career.""",Contract: Yes,$1.50,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Sunset,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,700,2017
"""Inconsistent and unprofessional follow-up and follow-through from ever-changing editor(s) in charge. After months of non-communication, tried to renege on contract and payment. Rarely encountered such a chaos-ridden, freelancer-unfriendly publication.""",Contract: Yes,$1.50,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Sunset,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,1000,2016
"""Consistent problems with pay not arriving on time and paychecks being inaccurate. At times the rates the publication would pay the writer would change and the editors would not communicate this with the writers so you would have no idea why your check was missing money.""",Contract: No,$0.10,False,Medium reporting,Paid in 3 months ,svg-5,Platform: digital,Rogue Valley Messenger,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,700,2018
,Contract: ,$200,True,,,ng-hide,,Ted Blog,,Rights: ,,,2013
,Contract: Yes,$0.10,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Paris Review,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1500,2017
"""Great edit. Took me months to get them to pay.""",Contract: Yes,$0.07,False,Medium reporting,,ng-hide,Platform: digital,The Paris Review,Assignment (editor came to you),Rights: ,"criticism, review, or arts/entertainment converage",~1500,2015
"""Still chasing them for that $100 three months later.  Great edit, though.""",Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,The Paris Review,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~3000,2014
,Contract: ,$100,True,,,ng-hide,,The Paris Review,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,$100,True,,,ng-hide,Platform: digital,The Paris Review,,Rights: ,, blog post,2013
"""$100 flat fee""",Contract: ,$100,True,,,ng-hide,Platform: digital,The Paris Review,,Rights: ,, blog post,2013
,Contract: ,$100,True,,,ng-hide,,The Paris Review,,Rights: ,, blog post,2012
"""""payment usually prompt""""",Contract: ,$0.08,False,,,ng-hide,Platform: digital,The Paris Review,,Rights: ,"opinion, editorial, column or essay",1200,2012
"""Based on something I'd written elsewhere, the editors there asked me to do a similar piece for them, which meant minimal reporting for me. They originally offered 50 cents per word. We agreed on 60 cents at 1,000 words and I filed a little over 1,100.""","Contract: Verbal or ""handshake"" agreement",$0.55,False,Little to no reporting,Paid in 3 months ,svg-3,Platform: digital,Garage (Vice),Assignment (editor came to you),Rights: All rights,feature,1100,2018
,Contract: Yes,$0.40,False,Little to no reporting,Paid in 2 months ,svg-4,Platform: digital,Purewow,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,250,2017
,Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Culture Trip,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,1000,2018
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Culture Trip,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,1000,2017
,Contract: No,$0.15,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Indianapolis Star,Solicited pitch (editor asked you to pitch),Rights: Secondary Rights/Reprint,"opinion, editorial, column or essay",1000,2018
,Contract: No,$0.35,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,New Hampshire Business Review,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,431,2016
"""They've recently changed their rates: 
* stories of 600 to 800 words -- $600
* stories of 800 to 1,000 words -- $700
* stories of 1,000 to 1,200 words -- $850
* stories of 1,200 to 1,500 words -- $1,000
* stories of 1,500 to 2,000 words -- $1,400""",Contract: Yes,$1.00,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Stat,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,600,2016
"""Awesome experience.""",Contract: Yes,$0.83,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Stat,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,600,2016
"""I was paid $1 a word. Story came out slightly less than assigned length. Great experience.""",Contract: Yes,$1.00,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Stat,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,news story,900,2016
,Contract: No,$0.10,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Realsimple.com,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,,1000-word,2018
"""Editors are extremely easy to work with. Pub doesn't pay great _ 50 cents a word for most stories - but they pay on time every time. Been working with them for years. """,Contract: Yes,$1.04,False,Medium reporting,,ng-hide,Platform: digital,Planning Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,~375,2015
